sample_id,gsm,srx,srr
Sample-100,GSM5292838,SRX10859616,SRR14513984
Sample-101,GSM5292839,SRX10859617,SRR14513992
Sample-17,GSM5292840,SRX10859618,SRR14514000
Sample-19,GSM5292841,SRX10859619,SRR14514008
Sample-22,GSM5292842,SRX10859620,SRR14514016
Sample-27,GSM5292843,SRX10859621,SRR14514024
Sample-33,GSM5292844,SRX10859622,SRR14514032
Sample-37,GSM5292845,SRX10859623,SRR14514040
Sample-43,GSM5292846,SRX10859624,SRR14514048
Sample-45,GSM5292847,SRX10859625,SRR14514056
Sample-46,GSM5292848,SRX10859626,SRR14514064
Sample-47,GSM5292849,SRX10859627,SRR14514072
Sample-50,GSM5292850,SRX10859628,SRR14514080
Sample-52,GSM5292851,SRX10859629,SRR14514088
Sample-58,GSM5292852,SRX10859630,SRR14514096
Sample-66,GSM5292853,SRX10859631,SRR14514104
Sample-82,GSM5292854,SRX10859632,SRR14514112
Sample-90,GSM5292855,SRX10859633,SRR14514120
Sample-96,GSM5292856,SRX10859634,SRR14514128
