names,scores,logfoldchanges,pvals,pvals_adj,feature_type
L1M4c,69.332825,0.39650586,0.0,0.0,TE
L1M5,37.013737,0.12908994,6.884802280037586e-300,3.9212704331512256e-296,TE
L1MEd,34.740818,0.17809558,1.9074044715867802e-264,8.535771253527383e-261,TE
L1MB7,32.27088,0.14824252,1.7924242700855123e-228,7.018573309070465e-225,TE
L1ME1,28.770494,0.12142742,5.0201529735994466e-182,1.497702875947519e-178,TE
L1MEg,27.012737,0.15721896,1.0472279697775919e-160,2.733744980605663e-157,TE
L1MEc,26.293982,0.13470444,2.2471173741492186e-152,5.414775023377796e-149,TE
L1MEf,25.596891,0.17173782,1.6520872218495805e-144,3.338868275358002e-141,TE
L1M4,25.242493,0.12117154,1.3693393628787082e-140,2.5997115279913317e-137,TE
HAL1,24.93457,0.1084798,3.1395779726727116e-137,5.785226457821119e-134,TE
L1ME2,24.509407,0.16309078,1.1726076018897211e-132,2.0406955240553587e-129,TE
L1MC1,23.919725,0.14624105,1.909535869557817e-126,3.2333603179369405e-123,TE
L1MC4,22.436647,0.10029308,1.727887722725672e-111,2.6403388711338068e-108,TE
L1MA3,20.439566,0.12485804,7.439816337134389e-93,9.710665277870971e-90,TE
L1MB3,20.135986,0.10593913,3.5713378047367642e-90,4.387213427540452e-87,TE
MamRep4096,19.5189,0.5365299,7.58543437620377e-85,8.337457001816533e-82,TE
L1MD2,19.177269,0.12467375,5.731319273424256e-82,5.79149812579521e-79,TE
L1M4b,18.886564,0.22276668,1.4711654436780774e-79,1.3554409737040475e-76,TE
L1ME3Cz,18.867792,0.1448981,2.0988518077386287e-79,1.9057270232845336e-76,TE
L1MC5a,18.411587,0.10725855,1.0606798977581122e-75,9.358555539679452e-73,TE
HAL1ME,17.976534,0.17118032,2.975228286870314e-72,2.4853470320094944e-69,TE
L1MDa,17.859764,0.12781024,2.4266479384788313e-71,1.9491271794056057e-68,TE
L1MB8,17.649885,0.10658389,1.0196323410995958e-69,7.886541457065528e-67,TE
L1ME3G,17.587906,0.12245355,3.049421182429209e-69,2.3017986325346067e-66,TE
L1PB3,17.564247,0.19884793,4.6279841358596576e-69,3.451759929711231e-66,TE
L1MC2,17.389902,0.17492396,9.840290969718586e-68,7.16865197143999e-65,TE
L1ME4a,16.792168,0.08494647,2.7848132192883313e-63,1.8560780106556728e-60,TE
L1MA9,16.407005,0.0939822,1.7040738859149994e-60,1.0466856179064768e-57,TE
L1MB1,16.286308,0.16221379,1.234596705250221e-59,7.36654458863158e-57,TE
L1MC3,16.050446,0.12073949,5.675433625041293e-58,3.2621246976372666e-55,TE
LTR37-int,16.000961,0.3016952,1.2581720885820409e-57,7.165976320159403e-55,TE
L1M1,15.785187,0.095962346,3.934800362115562e-56,2.201064084704483e-53,TE
L1MA7,15.766744,0.13113688,5.269756453897703e-56,2.921730191089779e-53,TE
L1M2,15.562344,0.10014207,1.312057033174613e-54,7.086352171157127e-52,TE
L1ME3E,15.259434,0.1875185,1.424803943075184e-52,7.198821922387366e-50,TE
L1MA8,15.05619,0.11392017,3.1439525350024813e-51,1.5757741621635235e-48,TE
L1MC4a,14.918256,0.10259396,2.507412414889491e-50,1.2272804312909493e-47,TE
L1MEi,14.539997,0.15263498,6.75956257407238e-48,3.1139217266780054e-45,TE
L1ME3,14.537539,0.12179447,7.006696229072616e-48,3.204208214946193e-45,TE
L2,14.424979,0.055688217,3.603762072294183e-47,1.5788762069321879e-44,TE
L1MD,14.395181,0.119090304,5.547986627299115e-47,2.413797987409145e-44,TE
L1M8,14.049194,0.23915575,7.791487120536677e-45,3.27613731267613e-42,TE
L1MB4,14.011399,0.099232465,1.3276354379597167e-44,5.508456147259219e-42,TE
L1ME3B,13.553765,0.1049541,7.526757085044723e-42,2.984549735032512e-39,TE
L1MB2,13.337936,0.1000644,1.3926210627695576e-40,5.320067207535095e-38,TE
L1MA6,13.069236,0.1280723,4.935877296679785e-39,1.7875008584640763e-36,TE
L1MD1,12.653894,0.09140846,1.064640030403341e-36,3.5479129013191337e-34,TE
L1M6,12.541374,0.13720647,4.4324245635911895e-36,1.4692901128759345e-33,TE
L1MA4,12.462292,0.08042734,1.1987620105034359e-35,3.891380244562216e-33,TE
L1ME4c,12.197187,0.10644911,3.217450283498073e-34,9.929875749331909e-32,TE
L2c,12.04745,0.037335347,2.000423585408426e-33,6.025410483145351e-31,TE
