,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_type
(CATTC)n,20.08584642271032,2.209591554749763,0.8964338278355517,2.4648685559812527,0.013706352233853582,0.2307864926462482,TE
(GAATG)n,17.518369570761326,1.185042977677352,0.6745396439119941,1.756817391494876,0.07894893973411962,0.3780515617113218,TE
7SK,2.887604687362492,1.7928093937262148,0.6698403025298264,2.67647286518175,0.0074401590196404134,,TE
ACRO1,42.78273824012517,0.026612270919473848,0.3896950036520234,0.06828999774202178,0.9455547861878512,0.980026586730999,TE
ALR/Alpha,6760.722736638165,0.6591200685005697,0.3425556936620126,1.9241252756723985,0.0543388825871293,0.3412189663676941,TE
Alu,4776.185416224121,0.008478759656190703,0.09776929992722823,0.08672210665824164,0.9308924040436098,0.9747345978407218,TE
AluJb,439873.2198575131,-0.0014245315906274499,0.0866558746966194,-0.016438949991731185,0.9868842063417761,0.9953002889996216,TE
AluJo,242559.47790642944,0.000951274386612816,0.08267982168221596,0.011505520540054945,0.990820125331586,0.9965260867705346,TE
AluJr,272217.24099115876,-0.006663416392595673,0.08561077878212962,-0.07783384858060179,0.9379602208379496,0.9778775646768078,TE
AluJr4,63525.64572256036,0.008018582461252437,0.07388671385318289,0.1085253632633577,0.9135789623542057,0.9682375327514658,TE
AluSc,128694.70701152142,0.026113328326048835,0.10819801331168742,0.24134757678797514,0.8092857395313562,0.9227346041569015,TE
AluSc5,23278.6819583674,0.009480362714475863,0.11027257061209043,0.0859720840990028,0.9314886087044036,0.9749253984084855,TE
AluSc8,79129.19375736533,-0.0007753740265361717,0.10297069435732166,-0.0075300456248796705,0.9939919496314862,0.9979663276787931,TE
AluSg,132950.59937592997,0.031158981185216112,0.10977213296290264,0.28385146889462604,0.776524209507548,0.9078052913104594,TE
AluSg4,24433.271343783912,0.0423436640671632,0.10751564056737417,0.39383724864317526,0.6937012018947253,0.8691944791384033,TE
AluSg7,30886.390586962767,0.0158121229404987,0.10775089047772986,0.14674702798643485,0.88333169742696,0.955984376817881,TE
AluSp,197572.3793648096,0.012614024904447997,0.10808215618827313,0.11670774667443777,0.9070916512732939,0.9650069971115699,TE
AluSq,64914.59948994479,0.024031178703563146,0.10320198509865594,0.23285577966926255,0.8158733972878398,0.9261821405178465,TE
AluSq10,5765.969028458154,-0.06616693254853856,0.10181920761130835,-0.6498472547648255,0.5157908914875193,0.7687568456658519,TE
AluSq2,222639.53458050126,0.009356583773723549,0.1012625827898077,0.09239922107403832,0.9263808582752279,0.9731035665525684,TE
