TE_name,detected_scTE,detected_soloTE,detection_method
HERVK14C-int,True,True,Both
MER112,True,True,Both
MER51C,True,True,Both
MER107,True,True,Both
MER51D,True,True,Both
MER88,True,True,Both
MER117,True,True,Both
LTR40b,True,True,Both
MSTC-int,True,True,Both
MER61D,True,True,Both
LTR81AB,True,True,Both
MamTip2,True,True,Both
LTR64,True,True,Both
MLT1F2,True,True,Both
PRIMAX-int,True,True,Both
MER89,True,True,Both
MER103C,True,True,Both
MSTA-int,True,True,Both
MSTB1-int,True,True,Both
L1ME5,True,True,Both
MER74A,True,True,Both
MER68C,True,True,Both
AluSq10,True,True,Both
LTR32,True,True,Both
MER21B,True,True,Both
MER45A,True,True,Both
MER5C,True,True,Both
MER52-int,True,True,Both
LTR88c,True,True,Both
MLT1K-int,True,True,Both
MLT2D,True,True,Both
MER9B,True,True,Both
L1MDb,True,True,Both
HERV9N-int,True,True,Both
LTR1C3,True,True,Both
LTR53,True,True,Both
MLT1E2-int,True,True,Both
MLT2C2,True,True,Both
L1PA8A,True,True,Both
Tigger5,True,True,Both
LTR54B,True,True,Both
L1PA16,True,True,Both
AluSx1,True,True,Both
Tigger3b,True,True,Both
MLT2B4,True,True,Both
Charlie14a,True,True,Both
MER92A,True,True,Both
LTR80A,True,True,Both
MER72B,True,True,Both
MamGypsy2-LTR,True,True,Both
HSMAR1,True,True,Both
LTR1A2,True,True,Both
MER30,True,True,Both
MER57C2,True,True,Both
HAL1,True,True,Both
MLT1E2,True,True,Both
MER68,True,True,Both
L1PA11,True,True,Both
LTR3A,True,True,Both
LTR14C,True,True,Both
MER132,True,True,Both
MamRep434,True,True,Both
LTR41B,True,True,Both
L2,True,True,Both
Tigger12c,True,True,Both
THE1B,True,True,Both
L1PA15-16,True,True,Both
LTR9,True,True,Both
MER61-int,True,True,Both
MADE1,True,True,Both
AluSq,True,True,Both
AluYf1,True,True,Both
Kanga11a,True,True,Both
MLT1N2-int,True,True,Both
LTR37B,True,True,Both
AluSg7,True,True,Both
Tigger3,True,True,Both
ORSL,True,True,Both
Charlie10b,True,True,Both
HAL1b,True,True,Both
HERV3-int,True,True,Both
MER34D,True,True,Both
LTR73,True,True,Both
L1M4b,True,True,Both
LTR47A,True,True,Both
MLT1E,True,True,Both
AluYb8,True,True,Both
AluYh9,True,True,Both
LTR06,True,True,Both
MER90a,True,True,Both
ERVL-E-int,True,True,Both
LTR28B,True,True,Both
LTR22E,True,True,Both
L1MD,True,True,Both
LTR8,True,True,Both
HERVKC4-int,True,True,Both
MER4E,True,True,Both
MLT2A1,True,True,Both
UCON29,True,True,Both
AluYa5,True,True,Both
Charlie12,True,True,Both
L5,True,True,Both
L1M2a1,True,True,Both
Tigger13a,True,True,Both
LTR2C,True,True,Both
MER5A1,True,True,Both
MLT1E1A-int,True,True,Both
LTR18C,True,True,Both
MER87,True,True,Both
MLT1F,True,True,Both
L1M4a2,True,True,Both
L1MA9,True,True,Both
MER104,True,True,Both
MamRep1879,True,True,Both
L1MA7,True,True,Both
LTR1D1,True,True,Both
MERX,True,True,Both
Tigger17c,True,True,Both
MER75,True,True,Both
AluSz6,True,True,Both
Charlie5,True,True,Both
Zaphod,True,True,Both
MER113B,True,True,Both
MER41-int,True,True,Both
MER4D1,True,True,Both
LTR87,True,True,Both
AluJr,True,True,Both
AluSx4,True,True,Both
MER87B,True,True,Both
LTR12B,True,True,Both
MER44B,True,True,Both
LTR70,True,True,Both
MER83,True,True,Both
Tigger3d,True,True,Both
L1PA5,True,True,Both
MamRTE1,True,True,Both
MER48,True,True,Both
MER63D,True,True,Both
LTR7C,True,True,Both
MER130,True,True,Both
Eulor1,True,True,Both
MER6A,True,True,Both
MADE2,True,True,Both
L1PA3,True,True,Both
