TE_name,scTE_logFC,scTE_pval,scTE_padj,soloTE_logFC,soloTE_pval,soloTE_padj,TE_family,TE_class,_merge,scTE_significant,soloTE_significant,scTE_direction,soloTE_direction,agreement,logFC_pearson_r,logFC_spearman_r
(CATTC)n,2.3877249,0.2047208578866469,1.0,,,,,,left_only,False,False,Up,None,Missing_data,0.9937739085763165,0.9353183055874946
(GAATG)n,1.6902577,0.2607287361504931,1.0,,,,,,left_only,False,False,Up,None,Missing_data,0.9937739085763165,0.9353183055874946
7SK,1.5526066,0.8386561488131363,1.0,,,,,,left_only,False,False,Up,None,Missing_data,0.9937739085763165,0.9353183055874946
ACRO1,-0.19834293,0.9570509124053398,1.0,,,,,,left_only,False,False,Down,None,Missing_data,0.9937739085763165,0.9353183055874946
ALR/Alpha,0.32533574,1.0721221596578457e-17,1.5476849176203617e-15,,,,,,left_only,True,False,Up,None,Missing_data,0.9937739085763165,0.9353183055874946
Alu,-0.017436057,0.2248637580697946,1.0,-0.07321544,6.648467287038273e-06,2.574790806434249e-05,Alu,SINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
AluJb,-0.04318258,1.56264748382119e-71,1.2714471105049528e-68,-0.033218566,0.002512832340123,0.0062685581636989,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluJo,-0.032987412,1.2171615349508755e-31,3.43497240208141e-29,-0.036170475,2.10983182320391e-07,1.011972432014619e-06,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluJr,-0.042485926,8.857812853337755e-60,5.336065702639076e-57,-0.030302526,1.207551837247715e-06,5.299539237151915e-06,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluJr4,-0.033576004,2.6685953572227517e-17,3.723611753348834e-15,-0.02554305,0.1038476723597353,0.1675161857707636,Alu,SINE,both,True,False,Down,Down,Only_scTE_significant,0.9937739085763165,0.9353183055874946
AluSc,-0.031281486,5.012465312461574e-26,1.0866296342250176e-23,-0.06828868,5.2003722856398315e-45,7.939723320610671e-44,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSc5,-0.050706018,2.784811369288369e-18,4.1540765975544193e-16,-0.080347456,2.2574033368372705e-25,2.3529088626265395e-24,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSc8,-0.043780115,1.383293256572094e-34,4.3550103425878527e-32,-0.085375175,4.525592514895006e-73,1.3114953353836474e-71,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSg,-0.027084867,3.856252253176325e-16,5.0020302259575565e-14,-0.061024215,6.013638844917738e-39,8.251625959355479e-38,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSg4,-0.019361055,4.464419507717035e-05,0.0017580160061469,-0.060630593,6.546604073687013e-12,4.24941246459684e-11,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSg7,-0.037031643,1.125358875569117e-13,1.23476110180877e-11,-0.0648223,5.673495351374921e-17,4.555606637696603e-16,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSp,-0.032138247,9.653106334777082e-23,1.849470229297e-20,-0.06363319,1.3737343288168132e-51,2.5239457837922466e-50,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSq,-0.022393927,2.1519537449459374e-08,1.3971197313430871e-06,-0.06619167,4.6866997187469456e-27,5.131699490021908e-26,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSq10,-0.13344818,6.83013969892253e-21,1.1853603387179931e-18,-0.18961674,7.143671030145097e-39,9.679674245846609e-38,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSq2,-0.037696917,1.599738459762304e-34,4.986329066794432e-32,-0.06346693,7.79356537416214e-46,1.2068892665131086e-44,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSq4,-0.03869198,1.6912407356383166e-05,0.0007198228486988,-0.07079451,7.171061255367438e-10,4.179263656353926e-09,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSx,-0.037556916,2.8981291386124975e-30,7.661210492118632e-28,-0.04391191,4.5800570206270675e-21,4.3550717634734576e-20,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSx1,-0.0067562675,0.0028943343417998,0.0703113380566504,-0.027870795,4.502540677035336e-11,2.8050310884518986e-10,Alu,SINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
AluSx3,-0.014208288,1.4197912819668124e-05,0.0006092557781267,-0.048607074,5.863780593216243e-16,4.540241545033148e-15,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSx4,-0.025819337,6.389699483160889e-11,5.446545065571604e-09,-0.061082102,9.09850432261292e-18,7.586752835163386e-17,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSz,-0.025583437,4.2107562817416734e-19,6.578755406668268e-17,-0.0313422,1.955142548882386e-06,8.276608210371539e-06,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluSz6,-0.022670794,5.891856055639351e-18,8.644746457654824e-16,-0.03864218,4.198924788386499e-14,2.994496362244056e-13,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluY,-0.037452735,4.700291837794385e-40,1.7633412211356648e-37,-0.11491451,7.93253798975231e-293,2.149717795222876e-290,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluYa5,-0.10350724,2.9919191867744994e-40,1.1360407816400555e-37,-0.17104179,1.731645971332836e-49,2.9329753639449906e-48,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluYa8,-0.17518811,0.0005740225648136,0.0173149194550502,-0.16846772,1.294441077094089e-07,6.378064216227239e-07,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluYb8,-0.1316115,7.984385145385604e-42,3.146098828575808e-39,-0.24740608,4.717232499322998e-59,1.0435673529114552e-57,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluYb9,0.12824386,8.548104628240329e-12,7.981330895139862e-10,0.26287547,3.051460255473477e-34,3.802049329808333e-33,Alu,SINE,both,True,True,Up,Up,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluYc,0.0004926533,0.0268339414393779,0.4501133239942357,-0.03718268,2.3111423246951725e-08,1.2280775882203758e-07,Alu,SINE,both,False,True,Up,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
AluYc3,-0.10749933,7.111564035714545e-07,3.750392242437306e-05,-0.17478955,1.6746837470478637e-17,1.3649302118796122e-16,Alu,SINE,both,True,True,Down,Down,Both_significant_same_direction,0.9937739085763165,0.9353183055874946
AluYd8,-0.007030266,0.2672246185046727,1.0,-0.008327408,0.6136563602742717,0.7293897966417878,Alu,SINE,both,False,False,Down,Down,Neither_significant,0.9937739085763165,0.9353183055874946
AluYe5,-0.04698936,0.0036315121887756,0.0854687716525105,-0.13362259,9.493256163021019e-17,7.566683588760871e-16,Alu,SINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
AluYe6,-0.031452175,0.538873321894938,1.0,-0.12210679,0.0001133228287009,0.0003768157862324,Alu,SINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
AluYf1,-0.019598085,0.0362651746827994,0.5707233004401077,-0.12059767,1.087043269054287e-18,9.502862126248768e-18,Alu,SINE,both,False,True,Down,Down,Only_soloTE_significant,0.9937739085763165,0.9353183055874946
