names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
L1M5,12.333941,0.14417526,5.946505008527378e-35,3.223005714621839e-32,L1M5,LINE-1,LINE
L1ME1,11.738643,0.1601794,8.077275241714728e-32,2.918588787339589e-29,L1ME1,LINE-1,LINE
L2a,10.861703,0.10152753,1.75447332454729e-27,4.754622709523156e-25,L2a,LINE-2,LINE
L1MEd,10.704638,0.1906897,9.680861523405055e-27,2.0988107782742158e-24,L1MEd,LINE-1,LINE
L2c,10.485438,0.12719844,1.007772920794701e-25,1.8207097435690933e-23,L2c,LINE-2,LINE
L1ME2,10.277003,0.23770459,8.946632871317323e-25,1.385450004643997e-22,L1ME2,LINE-1,LINE
HAL1,10.244973,0.12368791,1.2465949330877526e-24,1.689136134333905e-22,HAL1,Unknown,Unknown
L1ME4a,9.771055,0.19113673,1.4988330270977473e-22,1.8052611126377313e-20,L1ME4a,LINE-1,LINE
L2,9.528413,0.15145378,1.5970624138424209e-21,1.5738324150956222e-19,L2,LINE-2,LINE
L1MEc,9.368624,0.16457514,7.348416043085963e-21,6.638069158920987e-19,L1MEc,LINE-1,LINE
LTR37-int,9.297006,0.6417575,1.4445706066383728e-20,1.2045496443046124e-18,LTR37-int,LTR,LTR
L1MB7,8.789208,0.123030305,1.5061755492230877e-18,1.1662102109698766e-16,L1MB7,LINE-1,LINE
L1MDa,8.512097,0.18958749,1.7081574717342594e-17,1.2344284662399581e-15,L1MDa,LINE-1,LINE
L1MC4,7.887841,0.12695862,3.0745821707385008e-15,1.8515817072669637e-13,L1MC4,LINE-1,LINE
L1M4,7.7735815,0.09896358,7.629747179400686e-15,4.352971548668602e-13,L1M4,LINE-1,LINE
L1MC5,7.7487497,0.16847032,9.280178140232825e-15,5.029856552006191e-13,L1MC5,LINE-1,LINE
L1ME3Cz,7.6059933,0.16237749,2.8272398417474054e-14,1.3930581765700852e-12,L1ME3Cz,LINE-1,LINE
L1MEf,7.5875607,0.21297541,3.2598378763266966e-14,1.53637576432093e-12,L1MEf,LINE-1,LINE
L1MEg,7.3253703,0.14582114,2.3823981633463256e-13,1.0330078436269668e-11,L1MEg,LINE-1,LINE
L1MC1,7.2188225,0.1613807,5.243956688788914e-13,2.186326557941224e-11,L1MC1,LINE-1,LINE
L1ME4c,7.082247,0.22355023,1.4183556405543104e-12,5.694435238373602e-11,L1ME4c,LINE-1,LINE
L1MB8,7.008276,0.13549958,2.412721230501696e-12,9.340677906656565e-11,L1MB8,LINE-1,LINE
MIR,6.865968,0.056057032,6.604170714298974e-12,2.3863070181000296e-10,MIR,Unknown,Unknown
L1MA3,6.6042266,0.15989007,3.9959819882816085e-11,1.3126195379688677e-09,L1MA3,LINE-1,LINE
L2b,6.325332,0.0602555,2.5268872478748033e-10,7.826130790560819e-09,L2b,LINE-2,LINE
L1MC3,6.287384,0.1156653,3.2286019228670387e-10,9.721679123299638e-09,L1MC3,LINE-1,LINE
L1ME4b,6.27744,0.12224631,3.441925108593134e-10,1.0083910318148534e-08,L1ME4b,LINE-1,LINE
L3,6.199761,0.08242915,5.654893890735595e-10,1.613132888830891e-08,L3,Unknown,Unknown
L1MA9,6.1098957,0.08281673,9.96962879889807e-10,2.7710455430783355e-08,L1MA9,LINE-1,LINE
L1MB2,5.962534,0.16833742,2.4835607682947026e-09,6.566292372759652e-08,L1MB2,LINE-1,LINE
L1M4a2,5.8194714,0.35014006,5.903407312613014e-09,1.5236413159220253e-07,L1M4a2,LINE-1,LINE
L1M1,5.7201324,0.1276146,1.0644099978904765e-08,2.468566741763124e-07,L1M1,LINE-1,LINE
L1MA6,5.704194,0.1829194,1.1689479316900025e-08,2.5859990978611485e-07,L1MA6,LINE-1,LINE
L1MB3,5.677754,0.08548274,1.3647469199575576e-08,2.958771322467985e-07,L1MB3,LINE-1,LINE
L1MCa,5.6636424,0.17081705,1.4819292985316324e-08,3.1498261953103715e-07,L1MCa,LINE-1,LINE
L1ME3G,5.5987406,0.09027136,2.1591484894583918e-08,4.4160697407035787e-07,L1ME3G,LINE-1,LINE
Tigger1,5.5843883,0.07829051,2.345243532142674e-08,4.707859238597516e-07,Tigger1,Unknown,Unknown
L1MD,5.5282373,0.13117957,3.234642485252313e-08,6.295784968047941e-07,L1MD,LINE-1,LINE
MIRb,5.4332085,0.066941015,5.53496243140832e-08,1.0526139080081787e-06,MIRb,Unknown,Unknown
CR1_Mam,5.283845,0.35811335,1.2650028070744955e-07,2.285438404781255e-06,CR1_Mam,Unknown,Unknown
L1M4c,5.276877,0.17641178,1.3140419485420953e-07,2.335117167573166e-06,L1M4c,LINE-1,LINE
L1ME3A,5.1308713,0.07629818,2.884038153149307e-07,4.8848396218966384e-06,L1ME3A,LINE-1,LINE
MER45C,5.0829687,0.40098193,3.7158081838040837e-07,6.196824724990195e-06,MER45C,LTR,LTR
L1MEi,5.0074663,0.18379472,5.515114218413573e-07,9.05815729206108e-06,L1MEi,LINE-1,LINE
L1ME3,4.940223,0.12369971,7.80331363113508e-07,1.2625062650970786e-05,L1ME3,LINE-1,LINE
L1MA5,4.923968,0.1886858,8.480683292207564e-07,1.3519206895225001e-05,L1MA5,LINE-1,LINE
L1M2,4.8973637,0.10855188,9.713100129534646e-07,1.5259421073066023e-05,L1M2,LINE-1,LINE
L1ME3E,4.7409334,0.24258028,2.1273598756515902e-06,3.29436872172332e-05,L1ME3E,LINE-1,LINE
L1PB4,4.6852965,0.14866385,2.7955482150530686e-06,4.151197623448666e-05,L1PB4,LINE-1,LINE
L1M6,4.664195,0.16912061,3.098276362400716e-06,4.478042102456501e-05,L1M6,LINE-1,LINE
MIR3,4.6270566,0.031214561,3.7089959737864427e-06,5.2901995205059266e-05,MIR3,Unknown,Unknown
HAL1ME,4.4148145,0.111028515,1.0109673441898652e-05,0.00013872007608883722,HAL1ME,Unknown,Unknown
MER113,4.351039,0.2054021,1.3549403619408182e-05,0.00018359441904298087,MER113,LTR,LTR
L1M3,4.333864,0.12764156,1.4651448393461669e-05,0.0001960761735618821,L1M3,LINE-1,LINE
L1MB4,4.3054333,0.06826462,1.666591302245704e-05,0.00022031524044321258,L1MB4,LINE-1,LINE
X6B_LINE,4.300248,0.4832711,1.7060690648165837e-05,0.00022281673087484055,X6B_LINE,Unknown,Unknown
L1MC2,4.23085,0.14114882,2.3280985431669076e-05,0.00030043557390392,L1MC2,LINE-1,LINE
L1MC,4.2082715,0.13130952,2.5733150450233234e-05,0.000328173353977092,L1MC,LINE-1,LINE
L1MC4a,4.172052,0.08938094,3.018688333779858e-05,0.00038049513416481,L1MC4a,LINE-1,LINE
Charlie25,3.981535,0.37170967,6.847161475616232e-05,0.0008247025599519994,Charlie25,Unknown,Unknown
L1PB,3.963037,0.28378916,7.40023345424676e-05,0.000881522314769614,L1PB,LINE-1,LINE
L1MA4,3.9420118,0.036110308,8.08010006378942e-05,0.000952046572733449,L1MA4,LINE-1,LINE
