names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
LTR37-int,23.849842,1.2296703,1.0164754712883034e-125,1.1018594108765209e-122,LTR37-int,LTR,LTR
L1M5,22.687979,0.19173227,5.8881364983639236e-114,2.127579988075498e-111,L1M5,LINE-1,LINE
L1MEd,22.081684,0.23106964,4.740887214590786e-108,1.2847804351541029e-105,L1MEd,LINE-1,LINE
L1ME1,20.995546,0.21824524,7.20289569622973e-98,1.3013231557855046e-95,L1ME1,LINE-1,LINE
L1MEf,18.375793,0.24841133,2.0528679982314079e-75,1.8544240917357052e-73,L1MEf,LINE-1,LINE
L1M4,18.346323,0.19971602,3.532275885196421e-75,2.945374661194554e-73,L1M4,LINE-1,LINE
L1MEc,18.276356,0.20190588,1.2767856878985447e-74,9.885969183443017e-73,L1MEc,LINE-1,LINE
HAL1,17.24432,0.17702541,1.2345646711005964e-66,7.043516334068666e-65,HAL1,Unknown,Unknown
L1MEg,16.595922,0.21106294,7.458810103951505e-62,4.042675076341716e-60,L1MEg,LINE-1,LINE
L1MA9,16.487392,0.23111776,4.520438966487158e-61,2.33340754270099e-59,L1MA9,LINE-1,LINE
L1MC4,15.964646,0.19422795,2.2531680637876122e-57,1.1101973550662598e-55,L1MC4,LINE-1,LINE
L1ME4a,15.6636915,0.14407267,2.678849401852496e-55,1.1615491006432422e-53,L1ME4a,LINE-1,LINE
L1ME2,15.565111,0.20614825,1.2565099079036917e-54,5.238679769875391e-53,L1ME2,LINE-1,LINE
L1MA3,15.439726,0.22370417,8.84757957012039e-54,3.552139353337223e-52,L1MA3,LINE-1,LINE
L1MCa,15.0164795,0.23120026,5.726979761191142e-51,2.147004528807451e-49,L1MCa,LINE-1,LINE
L1M4c,15.016285,0.30814782,5.743831304005174e-51,2.147004528807451e-49,L1M4c,LINE-1,LINE
L1MC1,14.87554,0.14332877,4.751356269988167e-50,1.716823398889058e-48,L1MC1,LINE-1,LINE
L1MB7,14.753458,0.10610948,2.9229534684102164e-49,1.0220908257279595e-47,L1MB7,LINE-1,LINE
L1MC3,14.65353,0.20479634,1.278951972742239e-48,4.332449807664335e-47,L1MC3,LINE-1,LINE
L1MDa,14.329206,0.25472844,1.437535411529042e-46,4.4522525317070904e-45,L1MDa,LINE-1,LINE
