names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
L1M5,18.194025,0.279545,5.755381261093462e-74,6.238833287025313e-71,L1M5,LINE-1,LINE
L1MEd,17.327703,0.3349251,2.907026490649504e-67,1.5756083579320312e-64,L1MEd,LINE-1,LINE
LTR37-int,17.282257,1.0601361,6.399339662211907e-67,2.3122947312792357e-64,LTR37-int,LTR,LTR
L1ME1,16.29214,0.27496943,1.1223397279398014e-59,3.041540662716862e-57,L1ME1,LINE-1,LINE
AluYb9,14.338216,0.878372,1.2626038531743111e-46,2.281104294734922e-44,AluYb9,Alu,SINE
L1MEc,13.096302,0.30498058,3.4569550127919147e-39,4.6841740423330445e-37,L1MEc,LINE-1,LINE
L1M4,12.37057,0.19811739,3.771341662948381e-35,4.54237151404005e-33,L1M4,LINE-1,LINE
L1MEf,11.933279,0.2764602,7.938337006401253e-33,8.39692047801703e-31,L1MEf,LINE-1,LINE
L1MEg,11.927384,0.26409328,8.520860263670419e-33,8.39692047801703e-31,L1MEg,LINE-1,LINE
HAL1,11.683957,0.20425712,1.5395819590958586e-31,1.2837744951230082e-29,HAL1,Unknown,Unknown
L1MB7,11.470363,0.27089518,1.8587830828862113e-30,1.3432805745657686e-28,L1MB7,LINE-1,LINE
L1MD2,10.923488,0.32396066,8.901123154557466e-28,5.360454166411274e-26,L1MD2,LINE-1,LINE
L1ME2,10.8864975,0.26946846,1.3368273742087433e-27,7.626951966538305e-26,L1ME2,LINE-1,LINE
L1ME3Cz,10.852055,0.35695463,1.9499226459799808e-27,1.0568580741211495e-25,L1ME3Cz,LINE-1,LINE
L1MC3,10.648539,0.3060516,1.7712320720608152e-26,8.520684977576535e-25,L1MC3,LINE-1,LINE
L1ME3B,10.553077,0.3400686,4.916025757682019e-26,2.220404967219712e-24,L1ME3B,LINE-1,LINE
L1MB8,10.464934,0.31134614,1.2516323515050226e-25,5.427077876125778e-24,L1MB8,LINE-1,LINE
L1MA7,10.231347,0.3300372,1.4350858814426108e-24,5.761604057347371e-23,L1MA7,LINE-1,LINE
L1MC,10.05783,0.39086422,8.484838261002846e-24,3.2848445267596735e-22,L1MC,LINE-1,LINE
L1MA3,9.743419,0.21907085,1.9681824280613034e-22,7.111699173394843e-21,L1MA3,LINE-1,LINE
L1MDa,9.690195,0.27823097,3.318955508535776e-22,1.1605637971783165e-20,L1MDa,LINE-1,LINE
L1MC4,9.394492,0.18948025,5.749461814916287e-21,1.8886110931421984e-19,L1MC4,LINE-1,LINE
L1M6,9.371519,0.39710146,7.14961472006778e-21,2.279465398986316e-19,L1M6,LINE-1,LINE
L1ME3G,9.1383,0.3126642,6.34415330903578e-20,1.8586654559445365e-18,L1ME3G,LINE-1,LINE
L1M4c,9.0864105,0.33760324,1.0236285875427282e-19,2.9200352339376776e-18,L1M4c,LINE-1,LINE
L1MD1,9.063445,0.28742936,1.263936519518903e-19,3.513095351688438e-18,L1MD1,LINE-1,LINE
L1MC4a,8.98358,0.28819525,2.620967575190258e-19,6.929582564649364e-18,L1MC4a,LINE-1,LINE
L1MD,8.866291,0.29600227,7.562254687705538e-19,1.9063916468541405e-17,L1MD,LINE-1,LINE
L1ME4a,8.815506,0.19275092,1.191452446132498e-18,2.935305571835518e-17,L1ME4a,LINE-1,LINE
L1MC1,8.784289,0.21417896,1.5735675392203097e-18,3.790549361144035e-17,L1MC1,LINE-1,LINE
L1MCa,8.645534,0.2325205,5.355449215382314e-18,1.2620232498857452e-16,L1MCa,LINE-1,LINE
L1MA9,8.579725,0.16429621,9.509993800088186e-18,2.1933687828288496e-16,L1MA9,LINE-1,LINE
L1M1,8.520524,0.19582169,1.5883274001847087e-17,3.586972712083801e-16,L1M1,LINE-1,LINE
Tigger3b,8.447585,0.25782377,2.973900740964108e-17,6.578996741234883e-16,Tigger3b,Unknown,Unknown
L1M3,8.4006815,0.31972536,4.438965871816645e-17,9.623678010098486e-16,L1M3,LINE-1,LINE
L1MB3,8.29849,0.2076286,1.054435855306703e-16,2.1980932060624343e-15,L1MB3,LINE-1,LINE
L1MC2,8.259846,0.31508952,1.458604451586854e-16,2.9832589160757543e-15,L1MC2,LINE-1,LINE
L1MB2,8.199016,0.26547745,2.423632590814232e-16,4.865218015634496e-15,L1MB2,LINE-1,LINE
L1MA5,8.1453,0.30784577,3.7834282590537653e-16,7.456793150571421e-15,L1MA5,LINE-1,LINE
L1MD3,8.099002,0.3319613,5.541198596391761e-16,1.0726177283015478e-14,L1MD3,LINE-1,LINE
