names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
L1M5,6.7660055,0.15176147,1.3238653951101195e-11,3.587675220748424e-09,L1M5,LINE-1,LINE
L2,6.55605,0.13509396,5.5251713336763235e-11,9.982142876175225e-09,L2,LINE-2,LINE
L1MB7,6.34525,0.12950937,2.2206414340388877e-10,3.438821877854506e-08,L1MB7,LINE-1,LINE
L1MEd,5.9074855,0.112525634,3.4736890237821804e-09,4.1838654464220925e-07,L1MEd,LINE-1,LINE
L2a,5.5635295,0.052569896,2.6437224697498603e-08,2.204457813237576e-06,L2a,LINE-2,LINE
AluYb9,5.344827,0.49867874,9.050346738830166e-08,6.131609915557438e-06,AluYb9,Alu,SINE
L1ME4b,4.949967,0.08408178,7.422616624854081e-07,4.4700646785232356e-05,L1ME4b,LINE-1,LINE
L2c,4.8399234,0.038762663,1.2988912067253925e-06,7.410516147843819e-05,L2c,LINE-2,LINE
L1ME1,4.7724943,0.036234874,1.8195838923575704e-06,9.862144696578032e-05,L1ME1,LINE-1,LINE
L1ME3G,4.4594016,0.06096186,8.218876134464369e-06,0.00040496644226178984,L1ME3G,LINE-1,LINE
AluJb,4.182294,0.05984419,2.8858286572488352e-05,0.0012031685632529758,AluJb,Alu,SINE
LTR37-int,4.0714893,0.46366423,4.671352319554205e-05,0.0017836448269487799,LTR37-int,LTR,LTR
L1MB5,4.0665345,0.12913226,4.77174354073013e-05,0.0017836448269487799,L1MB5,LINE-1,LINE
L1MDa,3.9884205,0.18172683,6.651468894728328e-05,0.002403397427295169,L1MDa,LINE-1,LINE
L1M4,3.871125,0.08517241,0.00010833422060561473,0.0035586150041359505,L1M4,LINE-1,LINE
AluSz6,3.568302,0.019739483,0.0003593023120990204,0.011128105894723945,AluSz6,Alu,SINE
L1MEi,3.5263247,0.15408845,0.0004213700431458538,0.012687920188058487,L1MEi,LINE-1,LINE
L1MEc,3.422454,0.06529498,0.0006205856129615651,0.017579549286787753,L1MEc,LINE-1,LINE
Tigger3b,3.4172919,0.061031226,0.0006324745592109985,0.017579549286787753,Tigger3b,Unknown,Unknown
L1MC1,3.3078852,0.06947639,0.0009400334240371253,0.025474905791406096,L1MC1,LINE-1,LINE
L1MC5,3.2639427,0.06500051,0.0010987341520554037,0.028599785043437083,L1MC5,LINE-1,LINE
L1MEf,3.1582036,0.054470543,0.0015874460701011644,0.04001840790673633,L1MEf,LINE-1,LINE
L1M3,3.0953693,0.19572821,0.0019656800242816414,0.0477258503263317,L1M3,LINE-1,LINE
L1MB8,3.0342786,0.053734314,0.0024111154970306355,0.05511421934682378,L1MB8,LINE-1,LINE
MIRc,2.9062986,0.0092082685,0.0036573222627695606,0.07929074665684407,MIRc,Unknown,Unknown
Tigger4a,2.8923755,0.18689491,0.003823407966996187,0.08126616149458563,Tigger4a,Unknown,Unknown
L1MD2,2.8267868,0.06703263,0.004701761832172075,0.09585820184314112,L1MD2,LINE-1,LINE
AluJo,2.821818,0.040604908,0.004775224077056845,0.09585820184314112,AluJo,Alu,SINE
MER5A,2.7673433,0.046623584,0.005651521548199483,0.10939730996871856,MER5A,LTR,LTR
L2b,2.7549286,0.0455782,0.005870494214766832,0.11164238120714466,L2b,LINE-2,LINE
MADE1,2.7303345,0.2559464,0.0063270068734778695,0.11660702664991011,MADE1,Unknown,Unknown
AluSx4,2.7293105,0.026069399,0.006346692409912082,0.11660702664991011,AluSx4,Alu,SINE
L1MC5a,2.6207204,0.025794934,0.008774418588489315,0.15097571031622886,L1MC5a,LINE-1,LINE
