names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
L1M5,34.572315,0.15317324,6.587180742153006e-262,7.140503924493859e-259,L1M5,LINE-1,LINE
L1MEg,23.897469,0.1806364,3.254112873039611e-126,4.4093229429686725e-124,L1MEg,LINE-1,LINE
L1MC4,23.571272,0.12465704,7.598203276868805e-123,8.236452352125785e-121,L1MC4,LINE-1,LINE
L1MEd,22.895573,0.13674106,5.142808323845683e-116,5.0680038391352006e-114,L1MEd,LINE-1,LINE
L1ME1,22.307514,0.11899818,3.123787824525346e-110,2.8218216681545626e-108,L1ME1,LINE-1,LINE
L1ME3Cz,21.17806,0.18054189,1.5217199885254052e-99,1.2688803596627225e-97,L1ME3Cz,LINE-1,LINE
L1M4,21.171755,0.12654597,1.7396005050445003e-99,1.3469478196201702e-97,L1M4,LINE-1,LINE
L1MEc,19.45032,0.12313502,2.896223784042324e-84,2.0930043879345863e-82,L1MEc,LINE-1,LINE
L1MB7,18.998226,0.101667956,1.7640931982684964e-80,1.1248688393665e-78,L1MB7,LINE-1,LINE
L1MC5a,18.956509,0.13793011,3.902037511962673e-80,2.3498937016486317e-78,L1MC5a,LINE-1,LINE
L2,18.772833,0.075263634,1.259869789143853e-78,7.187888691747036e-77,L2,LINE-2,LINE
L1ME4a,18.733135,0.111425325,2.657920708474782e-78,1.4405930239933317e-76,L1ME4a,LINE-1,LINE
AluJb,17.96331,0.04190755,3.7759914470737763e-72,1.9491308231561776e-70,AluJb,Alu,SINE
L1ME2,17.882446,0.14526089,1.615899730156676e-71,7.61580568473842e-70,L1ME2,LINE-1,LINE
HAL1,17.871576,0.090510525,1.9636366960381656e-71,8.869092410439048e-70,HAL1,Unknown,Unknown
AluSz,17.808521,0.052733433,6.0692048626342625e-71,2.6316072284382164e-69,AluSz,Alu,SINE
L1ME4b,17.323175,0.12250294,3.1451141385121036e-67,1.2627050837581928e-65,L1ME4b,LINE-1,LINE
L1ME3G,16.660694,0.14244506,2.5307233746299905e-62,9.797514778924678e-61,L1ME3G,LINE-1,LINE
L2a,16.561115,0.050073136,1.3310373210483458e-61,4.975325710401403e-60,L2a,LINE-2,LINE
L1MC1,16.501198,0.12078055,3.596824229864366e-61,1.2996524883909908e-59,L1MC1,LINE-1,LINE
L1MEf,16.431461,0.13594125,1.1388222231295842e-60,3.982204160878933e-59,L1MEf,LINE-1,LINE
L2c,16.342907,0.0593014,4.886675863333055e-60,1.6553614487040724e-58,L2c,LINE-2,LINE
L1MB8,16.16355,0.11287338,9.115974888455657e-59,2.9944596300260403e-57,L1MB8,LINE-1,LINE
L1MC5,15.310129,0.115438275,6.54335506282931e-53,2.0265705394591348e-51,L1MC5,LINE-1,LINE
L1MB3,14.657911,0.09560313,1.1990546666934165e-48,3.610486829710176e-47,L1MB3,LINE-1,LINE
AluJr,14.538975,0.043154098,6.861237890013874e-48,2.0101572629121728e-46,AluJr,Alu,SINE
AluSx,14.300435,0.037499215,2.1744677934916814e-46,6.043905354217905e-45,AluSx,Alu,SINE
L1MD2,14.196809,0.11478689,9.588039034102384e-46,2.598358578241746e-44,L1MD2,LINE-1,LINE
AluJo,14.149402,0.038272947,1.8835388525950732e-45,4.979892966373315e-44,AluJo,Alu,SINE
HAL1ME,14.024353,0.1717519,1.1061675507328077e-44,2.8549657737961036e-43,HAL1ME,Unknown,Unknown
L2b,13.321673,0.05209022,1.7318216107203868e-40,4.365801455862557e-39,L2b,LINE-2,LINE
L1ME3,13.23917,0.13832074,5.212184273877131e-40,1.2555572784184023e-38,L1ME3,LINE-1,LINE
AluSx1,12.920562,0.031917814,3.4461576572357493e-38,8.120945435746852e-37,AluSx1,Alu,SINE
MIR,12.629459,0.05350977,1.4527304358441306e-36,3.2807495676146616e-35,MIR,Unknown,Unknown
L1MD,12.484957,0.13271871,9.019268908359696e-36,1.9952831625840633e-34,L1MD,LINE-1,LINE
L1MC2,12.2094,0.14432244,2.7692432566326715e-34,5.885999392529051e-33,L1MC2,LINE-1,LINE
L1MC4a,12.136122,0.10009004,6.797187761965937e-34,1.4169522180713605e-32,L1MC4a,LINE-1,LINE
L1M6,11.736169,0.13784291,8.316976406004759e-32,1.7010570611526716e-30,L1M6,LINE-1,LINE
L1ME2z,11.681195,0.12815632,1.590428940229466e-31,3.134590856743166e-30,L1ME2z,LINE-1,LINE
L1ME3A,11.028106,0.079695284,2.7969264435332403e-28,5.319067131210583e-27,L1ME3A,LINE-1,LINE
MIRb,10.963212,0.051481918,5.7424428634150895e-28,1.073242769645165e-26,MIRb,Unknown,Unknown
AluSz6,10.789796,0.034454796,3.8464192913332406e-27,6.835276248861037e-26,AluSz6,Alu,SINE
L1MA4,10.675802,0.089404754,1.3211120883040848e-26,2.309815328583271e-25,L1MA4,LINE-1,LINE
MER3,10.308634,0.12805644,6.441070756725301e-25,1.1082731270301947e-23,MER3,LTR,LTR
L1ME3F,9.457868,0.108805425,3.1428623932815483e-21,5.1619133853290884e-20,L1ME3F,LINE-1,LINE
L1ME4c,9.201085,0.09160634,3.543529564858912e-20,5.648803012216265e-19,L1ME4c,LINE-1,LINE
L1MB5,8.860814,0.068997934,7.943205368947678e-19,1.2478890753535193e-17,L1MB5,LINE-1,LINE
AluJr4,8.813221,0.029237716,1.2160103068019413e-18,1.856556581089161e-17,AluJr4,Alu,SINE
AluSx3,8.803736,0.027750395,1.3233596367429756e-18,1.992391453096369e-17,AluSx3,Alu,SINE
L1MB4,8.531699,0.07488544,1.442140666584478e-17,2.1414801131199643e-16,L1MB4,LINE-1,LINE
L1MEi,8.450533,0.10624724,2.899765941526542e-17,4.2477652440740153e-16,L1MEi,LINE-1,LINE
Charlie1a,8.395329,0.07501378,4.6459074877046686e-17,6.714884955562481e-16,Charlie1a,Unknown,Unknown
L1MA6,8.376723,0.103378884,5.4421497822398836e-17,7.7622241630895185e-16,L1MA6,LINE-1,LINE
L1ME3B,8.323278,0.078664966,8.556316269164435e-17,1.2045515371135388e-15,L1ME3B,LINE-1,LINE
MIR3,8.291113,0.043907773,1.1219337570328243e-16,1.5592002469533097e-15,MIR3,Unknown,Unknown
Tigger3b,8.262972,0.064974524,1.420899407625805e-16,1.949689820084016e-15,Tigger3b,Unknown,Unknown
MER5B,8.092611,0.07851063,5.839882029153443e-16,7.815348295805349e-15,MER5B,LTR,LTR
L1MA3,7.9436336,0.041630525,1.963430997110012e-15,2.533760953413396e-14,L1MA3,LINE-1,LINE
MIRc,7.8584824,0.042475116,3.888151200171346e-15,4.8445470126272864e-14,MIRc,Unknown,Unknown
L1MB2,7.8251343,0.061202157,5.0711514220843316e-15,6.246736524476608e-14,L1MB2,LINE-1,LINE
L1MDa,7.480352,0.060502682,7.412372729843677e-14,8.829683559506094e-13,L1MDa,LINE-1,LINE
L1MD3,7.4148574,0.08177335,1.217559499625209e-13,1.4346027147757897e-12,L1MD3,LINE-1,LINE
L1MC,7.408595,0.070352964,1.2764422846269865e-13,1.4878101468125304e-12,L1MC,LINE-1,LINE
MER58A,7.159374,0.06720794,8.104613319877297e-13,9.151459207028115e-12,MER58A,LTR,LTR
Charlie1,7.071405,0.14674123,1.5337284899829913e-12,1.7139811166407862e-11,Charlie1,Unknown,Unknown
L1M2,7.020901,0.04898033,2.204415292553093e-12,2.438353241966891e-11,L1M2,LINE-1,LINE
