names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
L1ME1,12.102093,0.19807087,1.029527472647788e-33,1.1160077803502022e-30,L1ME1,LINE-1,LINE
L1M5,11.512495,0.14254652,1.141284986970787e-30,6.185764629381666e-28,L1M5,LINE-1,LINE
L1MA3,10.019434,0.2247024,1.2521850307956503e-23,4.52456191127495e-21,L1MA3,LINE-1,LINE
L1MEd,9.455298,0.20320676,3.2210271491867824e-21,6.983186859436944e-19,L1MEd,LINE-1,LINE
L1MEf,8.961204,0.19334507,3.211534012732147e-19,5.802171449669412e-17,L1MEf,LINE-1,LINE
L1M4,8.698886,0.16965836,3.3515730171556162e-18,5.1901502151381255e-16,L1M4,LINE-1,LINE
L1PB1,8.365109,0.16885489,6.00592652305182e-17,7.799741725575902e-15,L1PB1,LINE-1,LINE
L1MEg,8.356223,0.15855709,6.47580032566265e-17,7.799741725575902e-15,L1MEg,LINE-1,LINE
LTR37-int,8.024736,0.55797327,1.0174425626331244e-15,1.1029077378943069e-13,LTR37-int,LTR,LTR
HAL1,7.9145722,0.1314091,2.4810417527359225e-15,2.4449538726961276e-13,HAL1,Unknown,Unknown
L1ME2,7.734268,0.20987645,1.0399961190221693e-14,8.671967638615626e-13,L1ME2,LINE-1,LINE
L1M2,7.376547,0.21350136,1.6244778657185894e-13,1.1005837540243444e-11,L1M2,LINE-1,LINE
L1MEc,7.1515646,0.14054313,8.579428296408128e-13,5.166722374059117e-11,L1MEc,LINE-1,LINE
L1MDa,7.1033278,0.19268389,1.2178829583606902e-12,6.948342772963097e-11,L1MDa,LINE-1,LINE
L1MA7,7.061014,0.2029223,1.6529160962352839e-12,8.958805241595238e-11,L1MA7,LINE-1,LINE
L1MC1,6.9094334,0.16768064,4.865938828397665e-12,2.5045934959270984e-10,L1MC1,LINE-1,LINE
L1ME3Cz,6.9032354,0.19226818,5.083123331217359e-12,2.5045934959270984e-10,L1ME3Cz,LINE-1,LINE
L1MA4,6.8642077,0.17202848,6.6861246626435676e-12,3.1511996236111424e-10,L1MA4,LINE-1,LINE
L1MC3,6.6653104,0.13547678,2.641063067811292e-11,1.1451649462029762e-09,L1MC3,LINE-1,LINE
L1M6,6.4575524,0.18338679,1.0640991744290557e-10,4.119583946718201e-09,L1M6,LINE-1,LINE
L1MB7,6.2445173,0.10469182,4.251102507314311e-10,1.4865145541705526e-08,L1MB7,LINE-1,LINE
L1MEi,6.1711164,0.24033543,6.7809452818417e-10,2.297045214223876e-08,L1MEi,LINE-1,LINE
L1MC2,5.93247,0.1694012,2.98411620267102e-09,8.512584114987857e-08,L1MC2,LINE-1,LINE
L2c,5.8436117,0.06597995,5.108100213490335e-09,1.3842951578558808e-07,L2c,LINE-2,LINE
L1MD,5.8239985,0.18004781,5.745615717742908e-09,1.5190847409837347e-07,L1MD,LINE-1,LINE
L1MB1,5.7716293,0.18407306,7.850862677359762e-09,2.026270271966186e-07,L1MB1,LINE-1,LINE
L1MB8,5.73977,0.15543392,9.480521169384719e-09,2.3899732436309384e-07,L1MB8,LINE-1,LINE
L1MA2,5.671098,0.12832305,1.4188514457564076e-08,3.4178554826665464e-07,L1MA2,LINE-1,LINE
L2b,5.6510367,0.086049646,1.5948312460931707e-08,3.758254501663037e-07,L2b,LINE-2,LINE
L1M4c,5.6025753,0.19478145,2.1119004092730474e-08,4.870851156706347e-07,L1M4c,LINE-1,LINE
L1MC4,5.5146384,0.10044926,3.494975164324308e-08,7.89281891276573e-07,L1MC4,LINE-1,LINE
L1M3,5.4658785,0.11822763,4.60619216910899e-08,1.0190025125130907e-06,L1M3,LINE-1,LINE
L2,5.4092536,0.10527288,6.328795649578161e-08,1.3720828968285454e-06,L2,LINE-2,LINE
L2a,5.3585773,0.049259465,8.387987323465609e-08,1.7828584820856313e-06,L2a,LINE-2,LINE
L1MD1,5.354396,0.18636732,8.584282019027442e-08,1.789492636274182e-06,L1MD1,LINE-1,LINE
L1M1,5.2281528,0.14028728,1.7121197398802965e-07,3.5017694302457386e-06,L1M1,LINE-1,LINE
L1ME3A,5.032018,0.1408855,4.853427457204879e-07,9.742806228907572e-06,L1ME3A,LINE-1,LINE
L1ME3F,5.0121064,0.18761371,5.383746299012935e-07,1.0470044950619759e-05,L1ME3F,LINE-1,LINE
L1ME4c,5.01121,0.1326142,5.40887931028327e-07,1.0470044950619759e-05,L1ME4c,LINE-1,LINE
L1ME3,4.959837,0.16972907,7.05523861506943e-07,1.318599768747459e-05,L1ME3,LINE-1,LINE
L1MD3,4.941518,0.14957933,7.751675574014385e-07,1.4004693870385989e-05,L1MD3,LINE-1,LINE
L1PB4,4.914487,0.12375299,8.901521155023682e-07,1.556330472910592e-05,L1PB4,LINE-1,LINE
L1MA9,4.829985,0.08637187,1.36543366022164e-06,2.3127032620004026e-05,L1MA9,LINE-1,LINE
L1PBa,4.795064,0.20414492,1.6262285049404897e-06,2.6709571202355924e-05,L1PBa,LINE-1,LINE
L1MC4a,4.604032,0.08602708,4.1438854578634284e-06,6.70443557660292e-05,L1MC4a,LINE-1,LINE
L1PA17,4.501584,0.12293182,6.744883122175665e-06,0.00010752137212409444,L1PA17,LINE-1,LINE
L1MCa,4.409839,0.118381105,1.034474579414894e-05,0.00016251745566460077,L1MCa,LINE-1,LINE
L1M4b,4.374993,0.140832,1.2143644910882513e-05,0.00018805301547709493,L1M4b,LINE-1,LINE
L1P4,4.281132,0.18176645,1.8594494807892005e-05,0.0002838934136866892,L1P4,LINE-1,LINE
L1M7,4.1510563,0.12318819,3.309446054773945e-05,0.0004882810791609745,L1M7,LINE-1,LINE
L1MA1,4.1494136,0.12161237,3.33328411973359e-05,0.0004882810791609745,L1MA1,LINE-1,LINE
L1MA8,4.1428423,0.10045795,3.430277371059498e-05,0.0004957894226971328,L1MA8,LINE-1,LINE
HAL1ME,4.129053,0.09549839,3.6426009715923277e-05,0.0005195499280534321,HAL1ME,Unknown,Unknown
L1PA13,4.0028353,0.09932544,6.25878944825401e-05,0.0008811075015464087,L1PA13,LINE-1,LINE
L1MA5,3.909522,0.107571304,9.24789253946564e-05,0.0012852199375359941,L1MA5,LINE-1,LINE
L1MA6,3.8935177,0.113709256,9.880101068518725e-05,0.0013556999440853543,L1MA6,LINE-1,LINE
L1M8,3.735266,0.21718769,0.00018751685555733116,0.0024788813588310604,L1M8,LINE-1,LINE
L1PA16,3.7246878,0.079782024,0.00019555715865522908,0.0025540236142441966,L1PA16,LINE-1,LINE
L1ME3E,3.719635,0.11686891,0.0001995108837213861,0.002574640451833125,L1ME3E,LINE-1,LINE
L1PA3,3.711919,0.050719082,0.00020569377318804404,0.0026232005898334083,L1PA3,LINE-1,LINE
L1MD2,3.5545635,0.06872851,0.00037860710843382023,0.004663751199343876,L1MD2,LINE-1,LINE
L1PA7,3.5175269,0.08438843,0.00043558816414000334,0.005305365954244535,L1PA7,LINE-1,LINE
L1PA15,3.503713,0.06427117,0.0004588197594819488,0.005526229103093695,L1PA15,LINE-1,LINE
L1MC5a,3.4852693,0.0812116,0.0004916420110448864,0.005807932671724776,L1MC5a,LINE-1,LINE
L1MA4A,3.4845724,0.10454893,0.0004929241750910327,0.005807932671724776,L1MA4A,LINE-1,LINE
L1ME3B,3.4163485,0.09581038,0.0006346698419691239,0.007397657082736884,L1ME3B,LINE-1,LINE
L1PA8A,3.4128141,0.10857591,0.0006429580289248792,0.007414537269729458,L1PA8A,LINE-1,LINE
L1ME3D,3.3930016,0.08889434,0.0006913126976384915,0.007888241728843419,L1ME3D,LINE-1,LINE
MIR,3.2956064,0.0549218,0.0009820955065039572,0.010863178867860097,MIR,Unknown,Unknown
L3,3.2646677,0.085812874,0.0010959252541995865,0.011999828035882341,L3,Unknown,Unknown
L1PB,3.2277558,0.18226686,0.001247654774409042,0.01339067104415249,L1PB,LINE-1,LINE
L1PREC2,3.2248933,0.064404905,0.0012601961285230317,0.013392672581558494,L1PREC2,LINE-1,LINE
Looper,3.218173,0.21848346,0.0012900998449617473,0.013577361475131399,Looper,Unknown,Unknown
L1MC,3.1912417,0.09588104,0.001416626486320811,0.01462498201115961,L1MC,LINE-1,LINE
MIRc,3.1783488,0.06029677,0.0014811648072823199,0.015147006142396556,MIRc,Unknown,Unknown
L1ME4b,3.0262449,0.07568026,0.0024761159517137877,0.02508513730521258,L1ME4b,LINE-1,LINE
Charlie5,2.9712377,0.17084545,0.0029660208719831526,0.02949694151586915,Charlie5,Unknown,Unknown
L1PA4,2.9465716,0.025003532,0.003213180364316335,0.03166443195380825,L1PA4,LINE-1,LINE
MER58A,2.9376857,0.10460834,0.0033067196453431275,0.03200432228171384,MER58A,LTR,LTR
L1PA2,2.8914897,0.058019437,0.0038342020359002933,0.03645855269224489,L1PA2,LINE-1,LINE
L1P4a,2.770897,0.20007233,0.005590213295726465,0.05223957941868525,L1P4a,LINE-1,LINE
L1M4a1,2.7652469,0.12969454,0.005687974636001363,0.05269884192671349,L1M4a1,LINE-1,LINE
L1ME4a,2.7485704,0.04924638,0.005985578370144568,0.0549861606206501,L1ME4a,LINE-1,LINE
MLT1D,2.7166364,0.05204781,0.006594903338755764,0.05957396016009373,MLT1D,LTR,LTR
L4_C_Mam,2.7079496,0.08156998,0.006770029465860096,0.060650511909027635,L4_C_Mam,Unknown,Unknown
Charlie15b,2.6882367,0.17258333,0.007183047350322057,0.06330425469714723,Charlie15b,Unknown,Unknown
L1P1,2.6608076,0.07375426,0.007795346880580357,0.06760124814839286,L1P1,LINE-1,LINE
L1ME3C,2.6244183,0.10019069,0.008679712148352779,0.07408510211664891,L1ME3C,LINE-1,LINE
MamSINE1,2.6052527,0.07046428,0.00918064820877251,0.07714591207991783,MamSINE1,Unknown,Unknown
L1MB5,2.5339675,0.06275312,0.011277921231358205,0.09332264591444499,L1MB5,LINE-1,LINE
