names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
L2,3.391104,0.2366712,0.0006961166459393895,0.19992461153562327,L2,LINE-2,LINE
L1MEc,3.316727,0.27543154,0.000910786242154174,0.19992461153562327,L1MEc,LINE-1,LINE
MER20B,3.2928834,0.86698437,0.0009916559183417058,0.19992461153562327,MER20B,LTR,LTR
HERVH-int,3.2619226,0.68486094,0.0011065937907875827,0.19992461153562327,HERVH-int,Unknown,Unknown
L1MA2,3.127403,0.49466708,0.0017635804762022637,0.23389834559191827,L1MA2,LINE-1,LINE
L2b,3.0676165,0.124035515,0.0021577338154236004,0.23389834559191827,L2b,LINE-2,LINE
L1PB4,3.00178,0.6592966,0.0026840596861575474,0.2645018817995256,L1PB4,LINE-1,LINE
L1PREC2,2.9697516,0.45017067,0.002980405978512012,0.2692300067255851,L1PREC2,LINE-1,LINE
HAL1,2.924556,0.2255462,0.0034494811734604286,0.28763366092546955,HAL1,Unknown,Unknown
L1M4,2.7683282,0.18530579,0.00563446999617578,0.40718436505696975,L1M4,LINE-1,LINE
L1P4,2.6754456,0.76207125,0.007463000216731404,0.49125056899599057,L1P4,LINE-1,LINE
L1MD1,2.6647694,0.37415418,0.007704114089420516,0.49125056899599057,L1MD1,LINE-1,LINE
THE1D,2.523844,0.5296597,0.011607940906329607,0.6990559968034052,THE1D,Unknown,Unknown
L1PA15,2.4953742,0.37923777,0.01258243273674646,0.7178608992964823,L1PA15,LINE-1,LINE
L1ME1,2.460143,0.30043104,0.01388816774380876,0.7524837838171046,L1ME1,LINE-1,LINE
L1M4c,2.4427052,0.47353435,0.014577637878375642,0.7524837838171046,L1M4c,LINE-1,LINE
MLT2B1,2.374022,1.0381491,0.017595504275148575,0.8669784833755025,MLT2B1,LTR,LTR
MER11A,2.265481,1.0810827,0.023483178623653195,1.0,MER11A,LTR,LTR
L1MA6,2.2081857,0.5010344,0.02723133690833086,1.0,L1MA6,LINE-1,LINE
L1ME2,2.190748,0.42464444,0.028470041743125344,1.0,L1ME2,LINE-1,LINE
L1MA3,2.154093,0.15768737,0.03123287372270651,1.0,L1MA3,LINE-1,LINE
L1MC2,2.1437728,0.33700064,0.032051096968476585,1.0,L1MC2,LINE-1,LINE
L1MB7,2.1323848,0.25597703,0.03297521919993778,1.0,L1MB7,LINE-1,LINE
