names,scores,logfoldchanges,pvals,pvals_adj,TE_subfamily,TE_family,TE_class
L1M5,44.415943,0.14464769,0.0,0.0,L1M5,LINE-1,LINE
L1MEd,39.20208,0.1743832,0.0,0.0,L1MEd,LINE-1,LINE
L1ME1,37.16739,0.13667618,2.2962618463745033e-302,8.29715947156654e-300,L1ME1,LINE-1,LINE
HAL1,31.083374,0.11066877,4.0408885568050294e-212,8.760646391153304e-210,HAL1,Unknown,Unknown
L1M4,31.013393,0.12930289,3.5570608253061354e-211,6.426423224386419e-209,L1M4,LINE-1,LINE
L1MEc,30.689842,0.14054012,7.77670251040263e-207,1.2042779316109217e-204,L1MEc,LINE-1,LINE
L1MEg,30.559965,0.15947205,4.168828927797748e-205,5.648763197165949e-203,L1MEg,LINE-1,LINE
L1MB7,30.247784,0.11876952,5.579356206139784e-201,6.720024586061695e-199,L1MB7,LINE-1,LINE
L1MEf,30.233614,0.17997038,8.568220956642477e-201,9.287951517000445e-199,L1MEf,LINE-1,LINE
L1ME2,28.890202,0.17056544,1.585240127707905e-183,1.5621820894866993e-181,L1ME2,LINE-1,LINE
L1MC1,28.41264,0.15252157,1.4115230101495555e-177,1.2750757858350985e-175,L1MC1,LINE-1,LINE
L1MC4,27.567345,0.107034214,2.7421841065227453e-167,2.286559670362043e-165,L1MC4,LINE-1,LINE
L1MA3,24.473051,0.12856139,2.860788546561211e-132,2.2150677031945377e-130,L1MA3,LINE-1,LINE
L1MD2,23.310043,0.13669033,3.5066183327635663e-120,2.5341161818104706e-118,L1MD2,LINE-1,LINE
L1MB3,23.272955,0.106325485,8.33166914388279e-120,5.64470584498059e-118,L1MB3,LINE-1,LINE
L1ME4a,23.149773,0.097694464,1.4614107585114672e-118,9.318642718979003e-117,L1ME4a,LINE-1,LINE
L1MC5a,22.280254,0.11603603,5.74307913996867e-110,3.4586098820700215e-108,L1MC5a,LINE-1,LINE
L2,22.203545,0.06487911,3.17403905637687e-109,1.8108728090065934e-107,L2,LINE-2,LINE
L2c,21.73791,0.047277678,8.990219923304997e-105,4.872699198431308e-103,L2c,LINE-2,LINE
L1MDa,21.672913,0.14600132,3.696168720609864e-104,1.821203133245951e-102,L1MDa,LINE-1,LINE
L1MB8,21.426083,0.11634863,7.633870637276785e-102,3.59787642209045e-100,L1MB8,LINE-1,LINE
L1ME3Cz,21.332241,0.14356036,5.701081658988738e-101,2.5749885493099136e-99,L1ME3Cz,LINE-1,LINE
L1MC2,20.364323,0.19348003,3.466073906713401e-92,1.5028896459509309e-90,L1MC2,LINE-1,LINE
HAL1ME,20.240475,0.18248019,4.310051638577316e-91,1.796959990853004e-89,HAL1ME,Unknown,Unknown
L2a,20.036146,0.03514832,2.6663082739170698e-89,1.070473395898557e-87,L2a,LINE-2,LINE
L1MC3,19.914762,0.12580937,3.0308536760480623e-88,1.1733733517271784e-86,L1MC3,LINE-1,LINE
L1ME3G,19.480467,0.114819214,1.608038483761089e-84,6.0107369530931744e-83,L1ME3G,LINE-1,LINE
MIR,19.370783,0.04847637,1.3617193704700977e-83,4.9203459919652866e-82,MIR,Unknown,Unknown
L1MC4a,19.228203,0.1165507,2.149475099647008e-82,7.516229058120505e-81,L1MC4a,LINE-1,LINE
L1M2,18.983881,0.11672835,2.3182605387319075e-80,7.853107574954337e-79,L1M2,LINE-1,LINE
L1MB1,18.900974,0.17569582,1.1196739541300993e-79,3.6779592917485684e-78,L1MB1,LINE-1,LINE
L1ME3,18.711546,0.14696063,3.9864646006594435e-78,1.270978713857305e-76,L1ME3,LINE-1,LINE
L1M1,18.371569,0.10244975,2.2190722139678024e-75,6.872783656974565e-74,L1M1,LINE-1,LINE
LTR37-int,18.203274,0.364865,4.861407043030035e-74,1.4638236762901548e-72,LTR37-int,LTR,LTR
L1MA7,17.741512,0.13178305,2.0046831306890657e-70,5.57199106068448e-69,L1MA7,LINE-1,LINE
L1MA9,17.495173,0.06823541,1.5593880451826355e-68,4.225941602444942e-67,L1MA9,LINE-1,LINE
L1MB4,17.413143,0.1125398,6.5582386055315125e-68,1.7339343044868682e-66,L1MB4,LINE-1,LINE
MIRb,17.24923,0.03897213,1.1340136198119084e-66,2.926835152085973e-65,MIRb,Unknown,Unknown
L1MA4,16.642324,0.087885715,3.4400367624541964e-62,8.474999660228066e-61,L1MA4,LINE-1,LINE
L1MD,16.400562,0.12145297,1.8947856447273994e-60,4.564328086410002e-59,L1MD,LINE-1,LINE
L1ME3B,16.260984,0.11366331,1.8671465976889508e-59,4.326795116581128e-58,L1ME3B,LINE-1,LINE
L1MA8,16.260695,0.11216899,1.8760089527611905e-59,4.326795116581128e-58,L1MA8,LINE-1,LINE
L1MEi,16.233057,0.16171387,2.944228013849531e-59,6.64904826461019e-58,L1MEi,LINE-1,LINE
L1ME4b,15.835115,0.08069498,1.7813242982928944e-56,3.861911078698995e-55,L1ME4b,LINE-1,LINE
L1MC5,15.645146,0.09114302,3.585452594756425e-55,7.474289639838394e-54,L1MC5,LINE-1,LINE
L1ME3A,15.514404,0.08286267,2.7719663336327156e-54,5.564465751218266e-53,L1ME3A,LINE-1,LINE
L1MD1,15.374434,0.09236471,2.4295681097736414e-53,4.788457874535686e-52,L1MD1,LINE-1,LINE
L2b,15.201611,0.032453276,3.4503394013511155e-52,6.561698089587033e-51,L2b,LINE-2,LINE
L1ME3E,15.142516,0.190397,8.490204012911004e-52,1.586789853447505e-50,L1ME3E,LINE-1,LINE
L1PA16,15.046528,0.05905616,3.6383310131519385e-51,6.573251363761169e-50,L1PA16,LINE-1,LINE
L1MA6,14.945303,0.13262206,1.6712884468688028e-50,2.922059155493197e-49,L1MA6,LINE-1,LINE
L1M6,14.926719,0.1544657,2.2087011511904994e-50,3.800368329984923e-49,L1M6,LINE-1,LINE
L1MC,14.773813,0.12863688,2.161306821198508e-49,3.5775325203292463e-48,L1MC,LINE-1,LINE
MIR3,14.773289,0.049724795,2.178202457027032e-49,3.5775325203292463e-48,MIR3,Unknown,Unknown
L1M8,14.535886,0.24507825,7.177878145421717e-48,1.1613164044234538e-46,L1M8,LINE-1,LINE
L1ME4c,14.279105,0.11209316,2.9537056673447608e-46,4.640314410727132e-45,L1ME4c,LINE-1,LINE
L1MB2,13.80638,0.08714911,2.3326269704785584e-43,3.5118994944427186e-42,L1MB2,LINE-1,LINE
