gene/TE	SRR14514163	SRR14514235	SRR14514255	SRR14514272	SRR14514277	SRR14514283	SRR14514287	SRR14514293	SRR14514295	SRR14514296	SRR14514297	SRR14514301	SRR14514303	SRR14514308	SRR14514317	SRR14514334	SRR14514342	SRR14514348
ENSG00000000003.16	0	8	0	1	0	0	2	1	1	1	1	0	0	0	3	1	0	0
ENSG00000000005.6	1	0	1	1	0	0	4	0	0	0	0	1	1	1	0	0	0	0
ENSG00000000419.14	36	41	20	21	41	12	18	21	35	17	19	21	18	11	26	25	13	32
ENSG00000000457.14	44	27	33	32	58	39	49	60	51	40	15	24	45	18	32	32	21	124
ENSG00000000460.17	81	46	47	57	63	53	79	82	92	76	38	62	67	34	40	71	47	62
ENSG00000000938.13	3	17	4	2	0	0	2	5	1	2	0	4	2	0	3	4	0	1
ENSG00000000971.17	0	0	3	0	0	4	1	2	0	0	0	1	1	0	0	5	1	0
ENSG00000001036.14	17	15	30	24	38	19	14	18	20	22	21	17	20	4	9	17	24	47
ENSG00000001084.13	27	31	19	5	11	2	7	9	12	7	6	11	26	3	7	14	8	9
ENSG00000001167.15	13	39	40	5	15	2	4	15	11	14	9	7	31	4	12	8	10	7
ENSG00000001460.18	137	179	65	110	163	75	59	96	202	104	115	73	267	87	111	73	50	172
ENSG00000001461.17	24	188	25	13	62	5	16	21	28	31	14	20	73	21	23	25	17	52
ENSG00000001497.18	114	183	124	123	137	48	77	89	87	71	84	56	115	38	52	87	78	169
ENSG00000001561.7	10	50	17	12	41	6	10	19	15	18	14	7	24	1	7	12	17	26
ENSG00000001617.12	1	14	12	8	0	4	1	1	2	2	1	2	4	1	0	3	4	5
ENSG00000001626.18	79	37	30	24	15	36	48	46	86	40	20	38	90	12	34	40	36	22
ENSG00000001629.10	48	196	51	19	12	13	20	34	37	30	8	31	105	15	25	24	47	10
ENSG00000001630.18	61	79	35	42	73	31	63	49	59	55	35	42	52	19	35	41	28	81
ENSG00000001631.17	14	26	9	16	36	10	6	12	16	5	7	11	10	2	10	9	15	12
ENSG00000002016.18	30	26	21	18	36	9	19	16	19	14	17	16	15	3	5	14	4	41
ENSG00000002079.15	7	7	7	6	6	5	8	11	6	10	7	15	8	2	2	16	9	3
ENSG00000002330.14	7	5	11	0	6	3	1	5	5	3	2	3	5	1	1	4	6	27
ENSG00000002549.13	1	4	10	1	3	4	5	8	8	2	1	5	14	6	1	4	12	3
ENSG00000002586.20	1	5	2	4	0	1	0	3	2	1	0	0	4	1	0	1	1	1
ENSG00000002587.10	8	8	10	2	42	3	1	3	6	7	2	4	9	2	2	4	8	26
ENSG00000002726.21	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002745.13	0	1	3	1	2	2	6	2	2	1	1	8	3	1	1	5	0	7
ENSG00000002746.15	32	88	42	46	7	13	18	29	29	8	34	25	30	19	11	27	20	3
ENSG00000002822.16	3	4	0	0	2	1	5	0	2	2	0	0	2	1	1	0	0	1
ENSG00000002834.19	76	228	85	32	15	14	43	49	45	36	45	26	79	35	26	29	56	26
ENSG00000002919.15	10	28	3	2	3	1	14	11	6	10	3	4	18	5	6	5	7	0
ENSG00000002933.9	0	11	12	1	2	2	1	3	2	1	0	2	1	0	1	1	3	2
ENSG00000003056.8	93	156	82	64	135	96	74	140	122	113	65	74	78	32	72	75	67	111
ENSG00000003096.15	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003137.9	38	199	22	20	37	12	12	32	20	24	23	28	33	33	17	30	27	18
ENSG00000003147.19	4	10	7	9	12	3	7	6	5	6	7	7	3	3	3	9	2	3
ENSG00000003249.15	22	65	24	22	13	12	19	21	20	31	17	22	14	22	10	11	24	35
ENSG00000003393.16	28	80	26	10	59	9	8	18	16	18	9	15	25	13	11	18	20	39
ENSG00000003400.16	3	4	4	0	1	1	1	2	2	0	1	0	0	0	0	1	0	0
ENSG00000003402.21	11	29	43	9	22	7	14	12	20	11	11	9	17	8	6	11	16	7
ENSG00000003436.16	0	1	3	0	2	1	1	3	1	2	2	2	6	0	3	0	1	1
