names,scores,logfoldchanges,pvals,pvals_adj,is_TE
MIR4500HG,7.381968,1.267999,1.559667657582425e-13,2.618760416125128e-12,True
MIR137HG,16.79285,1.2313147,2.753010469099042e-63,1.6128992134263488e-61,True
MIR31HG,4.4173255,1.0891082,9.992960379142896e-06,9.399439680545118e-05,True
MLT1E3-int:TE,3.2455108,0.93959296,0.0011724006873838,0.0082232211573679,True
MIR222HG,5.9214144,0.9282874,3.191844447711667e-09,4.1296119188968646e-08,True
MIR124-2HG,14.872875,0.9161506,4.944361191984393e-50,2.251557206440772e-48,True
MLT1-int:TE,7.6893497,0.83835596,1.4788504297315854e-14,2.5856224354614783e-13,True
L1M:TE,3.9466665,0.80318975,7.924686253694639e-05,0.0006630747365111,True
MIR124-1HG,14.0979395,0.7927004,3.910226597572846e-45,1.6459644312332198e-43,True
MIR4435-2HG,5.458311,0.7227189,4.806850892942484e-08,5.632354915687578e-07,True
L1M3b:TE,8.492845,0.711303,2.016401119556454e-17,4.024099312634078e-16,True
MIR34AHG,2.9655132,0.69568664,0.0030217834702667,0.0196282044951083,True
HERVK11-int:TE,6.2900767,0.6816775,3.1730870372545383e-10,4.4253889050897985e-09,True
L1P4d:TE,7.3195624,0.63077956,2.4878059382017133e-13,4.128713830626863e-12,True
MIR4300HG,5.497864,0.62820226,3.844201861436797e-08,4.546929828629789e-07,True
MER67D:TE,2.822878,0.61625236,0.0047594681392274,0.0296345172828842,True
L1M2b:TE,3.0935295,0.6091469,0.0019779088783409,0.0132988929168987,True
L1M3d:TE,12.44662,0.5863356,1.4589407944421625e-35,4.9771243560680134e-34,True
L1CAM,3.445482,0.5848713,0.0005700417839363,0.0042094854585272,True
HERVS71-int:TE,8.8685055,0.5618154,7.413430391488594e-19,1.559206790876065e-17,True
L1PBb:TE,4.511305,0.55475587,6.443003256450646e-06,6.178827787894835e-05,True
MLT1A-int:TE,6.578456,0.5534395,4.7535864816047526e-11,6.98284661312956e-10,True
MLT1I-int:TE,3.5028536,0.54021496,0.0004603021626604,0.0034508310049291,True
MERTK,4.775897,0.5052568,1.7890788556985013e-06,1.8122940683524924e-05,True
MER66-int:TE,3.5810833,0.5010927,0.0003421724875858,0.0026214616656623,True
MLT1H-int:TE,3.6011882,0.49661407,0.0003167660632374,0.0024355088336152,True
L1MEg1:TE,9.148304,0.48448458,5.783457785787961e-20,1.2734199542260597e-18,True
MIR29B2CHG,14.162752,0.48355064,1.557715657637906e-45,6.631323525539272e-44,True
Charlie9:TE,6.2701483,0.4723406,3.6070395318662576e-10,5.007370583382927e-09,True
L1MEg2:TE,6.1568904,0.4540607,7.41870446725541e-10,1.0052712478059574e-08,True
L1M3c:TE,11.741749,0.424911,7.785941138074468e-32,2.447869816259617e-30,True
L1MCb:TE,15.0855255,0.41605556,2.0166348717397397e-51,9.514907546332477e-50,True
L1PB:TE,14.707996,0.39908648,5.7278651826831465e-49,2.573258416525291e-47,True
Charlie29a:TE,7.756951,0.3926905,8.699568348744678e-15,1.5453045314510718e-13,True
