"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TE","TE_family","TE_class","significance"
30.8285318378604,-0.21617685132278,0.361494387702065,-0.598008872826397,0.549834012720592,0.995278921297154,"(GAATG)n:Satellite:Satellite","Satellite","Satellite","Not Significant"
450.512238030843,-0.174404134728508,0.338407190427254,-0.51536769803359,0.606296100330025,0.995278921297154,"7SK:RNA:RNA","RNA","RNA","Not Significant"
193.833040670556,-0.0721742559993009,0.377555529194621,-0.191161962727069,0.848398703368306,0.995278921297154,"ACRO1:acro:Satellite","acro","Satellite","Not Significant"
15822.2432216199,0.136176956337666,0.392129209278522,0.347275727274227,0.728384184230751,0.995278921297154,"ALR/Alpha:centr:Satellite","centr","Satellite","Not Significant"
998.565652420923,-0.0440577352164223,0.0675299092221703,-0.652418102199343,0.514131489661189,0.995278921297154,"Alu:Alu:SINE","Alu","SINE","Not Significant"
59496.8735950942,-0.0134894295420959,0.056355137748411,-0.239364680507347,0.810822814904677,0.995278921297154,"AluJb:Alu:SINE","Alu","SINE","Not Significant"
36611.3351305666,-0.0228606863289809,0.0545262110005667,-0.419260497098237,0.675025763163221,0.995278921297154,"AluJo:Alu:SINE","Alu","SINE","Not Significant"
10415.9322583856,-0.0127019581731174,0.0482492330246521,-0.263257203832184,0.792352342923432,0.995278921297154,"AluJr4:Alu:SINE","Alu","SINE","Not Significant"
2726.78816491782,0.0515743199725688,0.0480737671943247,1.07281627761964,0.283353555947004,0.995278921297154,"AluSc5:Alu:SINE","Alu","SINE","Not Significant"
9843.81952345217,0.00414325819777078,0.0623928485300979,0.0664059791367291,0.947054610049854,0.995278921297154,"AluSc8:Alu:SINE","Alu","SINE","Not Significant"
15610.5997090619,-0.00894739001967715,0.0521475735750495,-0.171578261581055,0.863769098733168,0.995278921297154,"AluSc:Alu:SINE","Alu","SINE","Not Significant"
2958.25484176536,-0.0410564327165483,0.0632379097793734,-0.649237662341899,0.5161847715726,0.995278921297154,"AluSg4:Alu:SINE","Alu","SINE","Not Significant"
3778.40895503085,0.0358664898742174,0.0583821043784989,0.614340477377969,0.538990359965701,0.995278921297154,"AluSg7:Alu:SINE","Alu","SINE","Not Significant"
17572.042599067,0.0119371134683401,0.0504325931657772,0.236694421583707,0.812893862939905,0.995278921297154,"AluSg:Alu:SINE","Alu","SINE","Not Significant"
24092.4525099288,0.00189652509579203,0.0536667016959841,0.0353389538737752,0.971809462017658,0.995278921297154,"AluSp:Alu:SINE","Alu","SINE","Not Significant"
710.148053991954,-0.00503186899904418,0.0675925138950954,-0.0744441759756667,0.940656958952132,0.995278921297154,"AluSq10:Alu:SINE","Alu","SINE","Not Significant"
27926.0559091236,-0.00799766876218116,0.0567284697570649,-0.140981570566429,0.887884501475697,0.995278921297154,"AluSq2:Alu:SINE","Alu","SINE","Not Significant"
1103.98701467538,-0.0731427063813238,0.0865569878058906,-0.845023703289569,0.398097604901734,0.995278921297154,"AluSq4:Alu:SINE","Alu","SINE","Not Significant"
10376.6703777926,0.0215550546133004,0.053385096807323,0.403765393384912,0.686385246938211,0.995278921297154,"AluSq:Alu:SINE","Alu","SINE","Not Significant"
52855.8808312473,0.010623521055773,0.0537331817511871,0.197708765971938,0.843272930845368,0.995278921297154,"AluSx1:Alu:SINE","Alu","SINE","Not Significant"
