TE_subfamily,names,scores,logfoldchanges,pvals,pvals_adj,bulk_TE,bulk_baseMean,bulk_log2FoldChange,bulk_pvalue,bulk_padj,is_TE,bulk_lfcSE,bulk_stat,bulk_TE_family,bulk_TE_class,bulk_significance
MIR4500HG,MIR4500HG,7.381968,1.267999,1.559667657582425e-13,2.6187604161251278e-12,,,,,,True,,,,,
MIR137HG,MIR137HG,16.79285,1.2313147,2.753010469099042e-63,1.6128992134263488e-61,,,,,,True,,,,,
MIR31HG,MIR31HG,4.4173255,1.0891082,9.992960379142896e-06,9.399439680545118e-05,,,,,,True,,,,,
MLT1E3-int,MLT1E3-int:TE,3.2455108,0.93959296,0.0011724006873838,0.0082232211573679,MLT1E3-int:ERVL-MaLR:LTR,59.9127378636097,-0.265454545848056,0.103147656681827,0.995278921297154,True,0.162877369727826,-1.62978163443847,ERVL-MaLR,LTR,Not Significant
MIR222HG,MIR222HG,5.9214144,0.9282874,3.191844447711667e-09,4.1296119188968646e-08,,,,,,True,,,,,
MIR124-2HG,MIR124-2HG,14.872875,0.9161506,4.944361191984393e-50,2.2515572064407718e-48,,,,,,True,,,,,
MLT1-int,MLT1-int:TE,7.6893497,0.83835596,1.4788504297315854e-14,2.585622435461479e-13,MLT1-int:ERVL-MaLR:LTR,85.9257838435681,0.0382073978532734,0.777987828012582,0.995278921297154,True,0.135515000556262,0.28194220341984,ERVL-MaLR,LTR,Not Significant
L1M,L1M:TE,3.9466665,0.80318975,7.924686253694639e-05,0.0006630747365111,L1M:L1:LINE,234.496119791136,-0.0273312598074793,0.739176608563109,0.995278921297154,True,0.08208967758665,-0.33294392926114,L1,LINE,Not Significant
MIR124-1HG,MIR124-1HG,14.0979395,0.7927004,3.910226597572846e-45,1.6459644312332198e-43,,,,,,True,,,,,
MIR4435-2HG,MIR4435-2HG,5.458311,0.7227189,4.806850892942484e-08,5.632354915687578e-07,,,,,,True,,,,,
L1M3b,L1M3b:TE,8.492845,0.711303,2.016401119556454e-17,4.024099312634078e-16,L1M3b:L1:LINE,221.093648241072,-0.124440759747817,0.393289275928498,0.995278921297154,True,0.145771939862136,-0.85366744701008,L1,LINE,Not Significant
MIR34AHG,MIR34AHG,2.9655132,0.69568664,0.0030217834702667,0.0196282044951083,,,,,,True,,,,,
HERVK11-int,HERVK11-int:TE,6.2900767,0.6816775,3.1730870372545383e-10,4.4253889050897985e-09,HERVK11-int:ERVK:LTR,613.681326045283,0.0821776386062363,0.470915651187907,0.995278921297154,True,0.113978884050645,0.720990026272952,ERVK,LTR,Not Significant
L1P4d,L1P4d:TE,7.3195624,0.63077956,2.4878059382017133e-13,4.128713830626863e-12,L1P4d:L1:LINE,90.2555709352381,0.0680731980205887,0.693245539341111,0.995278921297154,True,0.172575554564595,0.394454464842,L1,LINE,Not Significant
MIR4300HG,MIR4300HG,5.497864,0.62820226,3.844201861436797e-08,4.546929828629789e-07,,,,,,True,,,,,
MER67D,MER67D:TE,2.822878,0.61625236,0.0047594681392274,0.0296345172828842,MER67D:ERV1:LTR,1458.88509684041,0.0361831464159377,0.70291763434518,0.995278921297154,True,0.0948730341284286,0.381384939865599,ERV1,LTR,Not Significant
L1M2b,L1M2b:TE,3.0935295,0.6091469,0.0019779088783409,0.0132988929168987,L1M2b:L1:LINE,89.2816109084728,0.128720661525117,0.432117124097312,0.995278921297154,True,0.163855560174441,0.785573961531,L1,LINE,Not Significant
L1M3d,L1M3d:TE,12.44662,0.5863356,1.4589407944421625e-35,4.977124356068013e-34,L1M3d:L1:LINE,257.420382407061,0.0523133219699195,0.6253923305131,0.995278921297154,True,0.107150600990756,0.488222385000271,L1,LINE,Not Significant
L1CAM,L1CAM,3.445482,0.5848713,0.0005700417839363,0.0042094854585272,,,,,,True,,,,,
HERVS71-int,HERVS71-int:TE,8.8685055,0.5618154,7.413430391488594e-19,1.559206790876065e-17,HERVS71-int:ERV1:LTR,659.741797890631,0.180349249174026,0.325512208530085,0.995278921297154,True,0.183432098977892,0.983193509636293,ERV1,LTR,Not Significant
L1PBb,L1PBb:TE,4.511305,0.55475587,6.443003256450646e-06,6.178827787894835e-05,L1PBb:L1:LINE,292.714997662305,-0.129632503153336,0.422069613186299,0.995278921297154,True,0.161468252529727,-0.802835858581364,L1,LINE,Not Significant
MLT1A-int,MLT1A-int:TE,6.578456,0.5534395,4.7535864816047526e-11,6.98284661312956e-10,MLT1A-int:ERVL-MaLR:LTR,307.540660694377,0.0897135027997141,0.451028524237469,0.995278921297154,True,0.119030559670022,0.753701428006547,ERVL-MaLR,LTR,Not Significant
MLT1I-int,MLT1I-int:TE,3.5028536,0.54021496,0.0004603021626604,0.0034508310049291,MLT1I-int:ERVL-MaLR:LTR,366.252176228388,-0.0160599350023355,0.869353477250319,0.995278921297154,True,0.097640796619324,-0.164479762132104,ERVL-MaLR,LTR,Not Significant
MERTK,MERTK,4.775897,0.5052568,1.7890788556985013e-06,1.8122940683524924e-05,,,,,,True,,,,,
