TE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,TE_family,TE_class,significance
LTR22A:ERVK:LTR,96.1579319702351,0.374630855881087,0.131991337788425,2.83829880171076,0.00453547028686636,0.9962736297742,ERVK,LTR22A,Not significant
MER105:hAT-Charlie:DNA,660.750042275261,-0.210273402309569,0.0755880369846233,-2.78183441054759,0.00540526113487565,0.9962736297742,hAT-Charlie,MER105,Not significant
HERVE-int:ERV1:LTR,744.076819930126,0.238582187829213,0.0860197353820422,2.77357500310353,0.00554440579921814,0.9962736297742,ERV1,HERVE-int,Not significant
UCON48:UCON48:Unknown,22.506299614701,0.592802644009651,0.235083055234827,2.52167321637663,0.0116798155297004,0.9962736297742,UCON48,UCON48,Not significant
LTR47B:ERVL:LTR,16.8311393180745,0.691546627725435,0.280412400104586,2.4661770573181,0.0136563811058728,0.9962736297742,ERVL,LTR47B,Not significant
Tigger11a:TcMar-Tigger:DNA,415.347126878643,-0.177945290888857,0.0780057124843666,-2.28118281625233,0.0225376311521192,0.9962736297742,TcMar-Tigger,Tigger11a,Not significant
UCON8:DNA:DNA,204.076998649242,0.256121174030407,0.113140261523309,2.26374917807346,0.0235895459220164,0.9962736297742,DNA,UCON8,Not significant
HERVK14-int:ERVK:LTR,368.784625342654,-0.213414249226746,0.0952191316010257,-2.2412958996619,0.0250069143904182,0.9962736297742,ERVK,HERVK14-int,Not significant
Charlie1:hAT-Charlie:DNA,2273.61940055075,-0.143904532439125,0.0644937481043513,-2.23129429857738,0.0256616410964614,0.9962736297742,hAT-Charlie,Charlie1,Not significant
MER51C:ERV1:LTR,187.921980052174,0.188356792389169,0.0850518329794716,2.21461179366507,0.0267867218230368,0.9962736297742,ERV1,MER51C,Not significant
AluYj4:Alu:SINE,872.595029168007,0.117879299094578,0.0537051334054571,2.19493541156719,0.0281682311944329,0.9962736297742,Alu,AluYj4,Not significant
MER34C:ERV1:LTR,94.2222647848947,-0.315162694374433,0.143955881505069,-2.18930057653348,0.0285750004896836,0.9962736297742,ERV1,MER34C,Not significant
LTR72B:ERV1:LTR,174.453532763698,0.236297268247401,0.108460197776841,2.1786542260746,0.029357364593741,0.9962736297742,ERV1,LTR72B,Not significant
Charlie9:hAT-Charlie:DNA,771.485820707334,-0.104980202603007,0.0482666491538663,-2.17500498674245,0.0296297426943577,0.9962736297742,hAT-Charlie,Charlie9,Not significant
LTR26E:ERV1:LTR,81.335671831759,0.3104959938628,0.148800195174693,2.0866638884329,0.0369185277201536,0.9962736297742,ERV1,LTR26E,Not significant
LTR2B:ERV1:LTR,277.869917250668,-0.204673485579739,0.0983710590538838,-2.08062704161421,0.037468056756713,0.9962736297742,ERV1,LTR2B,Not significant
AluYe6:Alu:SINE,50.3276113579759,0.329179476880217,0.158260770941955,2.07998150723624,0.0375272290985965,0.9962736297742,Alu,AluYe6,Not significant
LTR26:ERV1:LTR,499.164778663123,0.177695096093688,0.0868138261219581,2.04685248918828,0.0406725701651292,0.9962736297742,ERV1,LTR26,Not significant
MER63D:hAT-Blackjack:DNA,848.385291587178,-0.141329521057997,0.069305605785919,-2.03922207237544,0.0414278689654408,0.9962736297742,hAT-Blackjack,MER63D,Not significant
Charlie26a:hAT-Charlie:DNA,297.261392193429,-0.224231565476248,0.111584574332148,-2.00952117995082,0.044481890825955,0.9962736297742,hAT-Charlie,Charlie26a,Not significant
L1MD3:L1:LINE,3549.72079330436,-0.106286137605852,0.0542247508477162,-1.96010375233154,0.0499836647609315,0.9962736297742,L1,L1MD3,Not significant
MER83A-int:ERV1:LTR,116.830770609535,0.314595116776945,0.160934889754996,1.95479747900457,0.0506069788572339,0.9962736297742,ERV1,MER83A-int,Not significant
L5:RTE-X:LINE,701.937826231099,-0.127930390996708,0.0655695553620561,-1.95106387850755,0.0510494474528185,0.9962736297742,RTE-X,L5,Not significant
MER34B-int:ERV1:LTR,486.141658801735,-0.186078675501848,0.0954109579915672,-1.95028620840695,0.0511420155495437,0.9962736297742,ERV1,MER34B-int,Not significant
HERVL18-int:ERVL:LTR,288.330023351079,0.209226885607438,0.107578802951831,1.94487092128288,0.0517905156177308,0.9962736297742,ERVL,HERVL18-int,Not significant
Tigger3a:TcMar-Tigger:DNA,4367.85465452849,-0.0937319470143452,0.0482692186510744,-1.94185755712992,0.0521543467389226,0.9962736297742,TcMar-Tigger,Tigger3a,Not significant
MER63A:hAT-Blackjack:DNA,2246.85650793701,-0.164034179297236,0.0845058384919246,-1.94109877168915,0.0522462980337718,0.9962736297742,hAT-Blackjack,MER63A,Not significant
L1P5:L1:LINE,208.14584597078,0.180515180133776,0.0932988416024504,1.93480623160314,0.0530140781167395,0.9962736297742,L1,L1P5,Not significant
LTR47B2:ERVL:LTR,193.536952998147,-0.184855813411333,0.096256578540988,-1.92044861985841,0.0548012572321513,0.9962736297742,ERVL,LTR47B2,Not significant
