TE_family,names,scores,logfoldchanges,pvals,pvals_adj,bulk_TE,bulk_baseMean,bulk_log2FoldChange,bulk_pvalue,bulk_padj,is_TE,bulk_lfcSE,bulk_stat,bulk_TE_family,bulk_TE_class,bulk_significance,new_bulk_TE,new_bulk_baseMean,new_bulk_log2FoldChange,new_bulk_lfcSE,new_bulk_stat,new_bulk_pvalue,new_bulk_padj,new_bulk_TE_class,new_bulk_significance,_merge
(CATTC)n,,,,,,,,,,,,,,,,,(CATTC)n:Satellite:Satellite,2.10525001438555,1.69036149745651,0.894537216733233,1.8896491569457,0.0588048981556674,0.9962736297742,(CATTC)n,Not significant,right_only
MER65D,,,,,,,,,,,,,,,,,MER65D:ERV1:LTR,418.536560405293,0.0593324606537246,0.0878928852292046,0.6750541923729,0.499641335296226,0.9962736297742,MER65D,Not significant,right_only
MER65C,,,,,,,,,,,,,,,,,MER65C:ERV1:LTR,667.37368221793,-0.0424993374978794,0.0698054937924451,-0.608825110875141,0.542640367395154,0.9962736297742,MER65C,Not significant,right_only
MER65B,,,,,,,,,,,,,,,,,MER65B:ERV1:LTR,104.288819810458,0.0894099598946353,0.134070617259364,0.666887060881275,0.504844276454404,0.9962736297742,MER65B,Not significant,right_only
MER65A,,,,,,,,,,,,,,,,,MER65A:ERV1:LTR,1451.36716605592,0.0556666454662295,0.0609072117441774,0.91395819759474,0.360738811433081,0.9962736297742,MER65A,Not significant,right_only
MER65-int,MER65-int:TE,3.0681813,0.17953826,0.0021536595693818,0.0143872501350905,MER65-int:ERV1:LTR,1466.65051794277,-0.0916213180492745,0.235409497965264,0.995278921297154,True,0.077217281371196,-1.18653902885853,ERV1,LTR,Not Significant,MER65-int:ERV1:LTR,1466.59077919396,-0.0917105544601755,0.0772022344895294,-1.18792616647144,0.234862499667029,0.9962736297742,MER65-int,Not significant,both
MER63D,,,,,,,,,,,,,,,,,MER63D:hAT-Blackjack:DNA,848.385291587178,-0.141329521057997,0.069305605785919,-2.03922207237544,0.0414278689654408,0.9962736297742,MER63D,Not significant,right_only
MER66-int,MER66-int:TE,3.5810833,0.5010927,0.0003421724875858,0.0026214616656623,MER66-int:ERV1:LTR,641.419234789806,-0.0435436223172251,0.526250938253467,0.995278921297154,True,0.0687090396566488,-0.633739352708469,ERV1,LTR,Not Significant,MER66-int:ERV1:LTR,641.387698000262,-0.0435677023545668,0.0684888440333033,-0.636128452297744,0.524692702071193,0.9962736297742,MER66-int,Not significant,both
MER63C,MER63C:TE,4.0907345,0.17436884,4.300094873199842e-05,0.0003734162132736,MER63C:hAT-Blackjack:DNA,927.956665903331,-0.108959641823929,0.138865306995727,0.995278921297154,True,0.0736198996683184,-1.48002975166806,hAT-Blackjack,DNA,Not Significant,MER63C:hAT-Blackjack:DNA,927.911789797602,-0.109064378389839,0.0735049658445782,-1.48376884658989,0.137870254555701,0.9962736297742,MER63C,Not significant,both
MER63A,MER63A:TE,4.369377,0.19695118,1.2460146269924144e-05,0.0001160488677231,MER63A:hAT-Blackjack:DNA,2246.93913764116,-0.163972129994633,0.0521334827426782,0.995278921297154,True,0.0844333711875665,-1.94202988330732,hAT-Blackjack,DNA,Not Significant,MER63A:hAT-Blackjack:DNA,2246.85650793701,-0.164034179297236,0.0845058384919246,-1.94109877168915,0.0522462980337718,0.9962736297742,MER63A,Not significant,both
